ID,Living Area,Total Area,Above the Ground Area,Basement Area,Neighbors Living Area,Neighbors Total Area,Bedrooms,Bathrooms,Floors,Waterfront,View,Condition,Grade,Year Built,Year Renovated,Zipcode,Latitude,Longitude,Price
7237550110,348,6879,348,0,457,6879,4,3.25,2.0,0,0,3,10,2013,0,98053,47.658,-122.006,17700000000.0
8565000030,320,3108,320,0,261,3274,4,2.5,2.0,0,0,3,9,1997,0,98077,47.7673,-122.1,12075000000.0
5347200179,120,178,78,42,120,124,3,2.0,2.0,0,0,3,8,2006,0,98126,47.5183,-122.376,4050000000.0
3634100030,170,484,170,0,163,534,4,2.0,1.5,0,0,3,7,1951,0,98118,47.5331,-122.27799999999999,4050000000.0
722039087,91,5341,91,0,194,2549,2,1.0,1.0,0,0,2,6,1949,0,98070,47.4145,-122.463,3307500000.0
287000110,174,575,133,41,192,603,4,1.5,1.0,0,2,5,8,1954,0,98146,47.5035,-122.384,10200000000.0
4345000090,126,534,126,0,126,654,3,2.5,2.0,0,0,3,7,1994,0,98030,47.3645,-122.18299999999999,3585000000.0
104530490,171,605,104,67,118,619,4,3.5,2.0,0,0,3,7,1986,0,98023,47.3087,-122.354,3720000000.0
4139420190,493,1570,287,206,484,1458,4,5.0,1.0,0,4,3,12,1992,0,98006,47.5515,-122.113,37200000000.0
6064800710,145,266,145,0,149,239,3,2.5,2.0,0,0,3,7,2003,0,98118,47.5412,-122.288,4725000000.0
993000090,353,619,353,0,149,423,6,3.75,2.0,0,0,4,8,1977,0,98103,47.6938,-122.34,11280000000.0
2228900270,93,557,93,0,149,679,2,1.0,1.0,0,0,4,6,1944,0,98133,47.771,-122.353,4530000000.0
6752601110,221,656,221,0,214,755,4,2.5,2.0,0,0,4,7,1997,0,98031,47.3982,-122.17200000000001,5355000000.0
4017110020,192,3664,136,56,198,1118,4,2.25,1.0,0,0,3,8,1977,0,98155,47.7765,-122.27600000000001,6687000000.0
9558050360,296,544,296,0,287,544,5,2.75,2.0,0,0,3,9,2004,0,98058,47.4575,-122.119,8172000000.0
1702901557,272,510,162,110,130,510,5,3.0,1.0,0,0,3,7,1951,0,98118,47.5572,-122.281,6675000000.0
7524200180,157,717,157,0,137,744,4,2.0,1.5,0,0,4,7,1967,0,98198,47.3666,-122.318,3105000000.0
6071200375,156,878,156,0,157,877,3,1.75,1.0,0,0,4,7,1959,0,98006,47.5525,-122.182,6990000000.0
6042000090,234,718,234,0,185,715,4,2.5,2.0,0,0,3,9,1994,0,98155,47.7709,-122.29700000000001,7875000000.0
5423600100,239,1260,119,120,187,1082,6,3.5,1.0,0,0,3,8,1987,0,98052,47.6796,-122.113,9060000000.0
2354300910,117,673,117,0,174,673,4,1.75,1.0,0,0,3,6,1943,0,98027,47.5267,-122.03200000000001,6765000000.0
7547300120,100,464,100,0,93,464,2,1.0,1.0,0,0,3,7,1954,0,98106,47.5682,-122.359,4875000000.0
8151600610,68,1045,68,0,129,1045,2,1.0,1.0,0,0,2,6,1938,0,98146,47.5036,-122.36200000000001,3536250000.0
853600150,518,6341,518,0,467,9466,4,4.25,2.0,0,0,3,11,1998,0,98014,47.6113,-121.95200000000001,25200000000.0
8122100160,123,652,123,0,130,539,3,0.75,1.0,0,0,5,7,1924,0,98126,47.5377,-122.376,5775000000.0
7199340480,165,747,114,51,165,668,3,2.25,1.0,0,0,4,7,1979,0,98052,47.6977,-122.126,7425000000.0
3885805896,337,557,229,108,237,702,5,3.75,1.5,0,0,3,9,2004,0,98033,47.6816,-122.199,17700000000.0
